Pointing,Gl,Gb,RA,Dec
MMGPS_U_0989,-32.64964681451724,-8.36435852177501,16:33:21.31,-60:14:14.84
MMGPS_U_0990,-32.22427937704648,-7.627600508190268,16:31:17.28,-59:25:46.16
MMGPS_U_0991,-32.64964681451724,-6.890842494605526,16:24:48.9,-59:13:50.31
MMGPS_U_0992,-32.22427937704648,-6.154084481020783,16:23:0.83,-58:24:50.02
MMGPS_U_0993,-32.64964681451724,-5.417326467436042,16:16:46.33,-58:11:27.17
MMGPS_U_0994,-32.22427937704648,-4.6805684538513,16:15:12.62,-57:22:0.71
MMGPS_U_0995,-32.64964681451724,-3.9438104402665575,16:09:11.58,-57:07:16.78
MMGPS_U_0996,-32.22427937704648,-3.207052426681816,16:07:50.73,-56:17:28.88
MMGPS_U_0997,-32.64964681451724,-2.470294413097074,16:02:2.67,-56:01:29.35
MMGPS_U_0998,-32.22427937704648,-1.7335363995123316,16:00:53.31,-55:11:24.14
MMGPS_U_0999,-32.64964681451724,-0.9967783859275894,15:55:17.7,-54:54:14.1
MMGPS_U_1000,-32.22427937704648,-0.2600203723428489,15:54:18.58,-54:03:55.14
MMGPS_U_1001,-32.64964681451724,0.47673764124189333,15:48:54.88,-53:45:39.27
MMGPS_U_1002,-32.22427937704648,1.2134956548266356,15:48:4.86,-52:55:9.66
MMGPS_U_1003,-32.64964681451724,1.9502536684113778,15:42:52.52,-52:35:52.29
MMGPS_U_1004,-32.22427937704648,2.68701168199612,15:42:10.57,-51:45:14.69
MMGPS_U_1005,-32.64964681451724,3.4237696955808605,15:37:9.05,-51:24:59.79
MMGPS_U_1006,-32.22427937704648,4.160527709165603,15:36:34.23,-50:34:16.52
MMGPS_U_1007,-32.64964681451724,4.897285722750345,15:31:43.0,-50:13:7.72
MMGPS_U_1008,-32.22427937704648,5.634043736335087,15:31:14.48,-49:22:20.79
MMGPS_U_1009,-32.64964681451724,6.370801749919828,15:26:33.02,-49:00:21.43
MMGPS_U_1010,-32.22427937704648,7.107559763504572,15:26:10.05,-48:09:32.58
MMGPS_U_1011,-32.64964681451724,7.844317777089312,15:21:37.86,-47:46:45.73
MMGPS_U_1012,-32.22427937704648,8.581075790674056,15:21:19.75,-46:55:56.46
MMGPS_U_1013,-32.64964681451724,9.317833804258797,15:16:56.38,-46:32:24.92
MMGPS_U_1014,-32.22427937704648,10.054591817843537,15:16:42.53,-45:41:36.54
MMGPS_U_1015,-31.37354450210494,-10.574632562529235,16:53:39.68,-60:41:49.62
MMGPS_U_1016,-31.798911939575706,-9.837874548944493,16:46:50.17,-60:33:49.13
MMGPS_U_1017,-31.37354450210494,-9.10111653535975,16:44:25.79,-59:46:13.3
MMGPS_U_1018,-31.798911939575706,-8.36435852177501,16:37:49.7,-59:36:34.04
MMGPS_U_1019,-31.37354450210494,-7.627600508190268,16:35:42.41,-58:48:19.37
MMGPS_U_1020,-31.798911939575706,-6.890842494605526,16:29:19.63,-58:37:7.67
MMGPS_U_1021,-31.37354450210494,-6.154084481020783,16:27:27.85,-57:48:20.29
MMGPS_U_1022,-31.798911939575706,-5.417326467436042,16:21:18.13,-57:35:42.16
MMGPS_U_1023,-31.37354450210494,-4.6805684538513,16:19:40.38,-56:46:27.47
MMGPS_U_1024,-31.798911939575706,-3.9438104402665575,16:13:43.38,-56:32:28.55
MMGPS_U_1025,-31.37354450210494,-3.207052426681816,16:12:18.25,-55:42:51.27
MMGPS_U_1026,-31.798911939575706,-2.470294413097074,16:06:33.56,-55:27:36.84
MMGPS_U_1027,-31.37354450210494,-1.7335363995123316,16:05:19.76,-54:37:41.11
MMGPS_U_1028,-31.798911939575706,-0.9967783859275894,15:59:46.93,-54:21:16.06
MMGPS_U_1029,-31.37354450210494,-0.2600203723428489,15:58:43.26,-53:31:5.49
MMGPS_U_1030,-31.798911939575706,0.47673764124189333,15:53:21.82,-53:13:34.37
MMGPS_U_1031,-31.37354450210494,1.2134956548266356,15:52:27.21,-52:23:12.11
